1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
115,0,283,"[8, 10, 5, 8, 3, 4, 2, 5, 7, 3]",42,13,0.1554546833209634,1,0.005,-1
116,0,266,"[6, 9, 6, 7, 6, 8, 5, 8, 4, 10]",56,13,0.0829711491497791,1,0.005,-1
117,0,183,"[2, 5, 2, 2, 2, 2, 7, 3, 2, 1]",12,16,0.18647068495240376,1,0.005,-1
118,0,247,"[5, 7, 4, 5, 5, 6, 7, 6, 3, 3]",41,10,0.09496617496015365,1,0.005,-1
119,0,197,"[5, 9, 8, 5, 7, 3, 6, 4, 1, 2]",36,14,0.18584329335057356,1,0.005,-1
120,0,248,"[2, 3, 8, 3, 6, 3, 1, 5, 6, 6]",30,13,0.18584210535677578,1,0.005,-1
121,0,106,"[2, 3, 5, 3, 2, 9, 6, 4, 4, 2]",25,15,0.17897680721455336,1,0.005,-1
122,0,148,"[1, 1, 5, 4, 1, 3, 3, 3, 4, 4]",13,16,0.18759882151865492,1,0.005,-1
123,0,40,"[6, 4, 3, 8, 6, 7, 4, 4, 7, 6]",40,15,0.11426794059869508,1,0.005,-1
124,0,261,"[6, 5, 8, 5, 5, 5, 6, 5, 1, 8]",44,10,0.14428252509673886,1,0.005,-1
125,0,229,"[1, 4, 3, 3, 2, 3, 3, 0, 4, 2]",12,13,0.23015952000024978,1,0.005,-1
126,0,50,"[7, 5, 4, 5, 3, 2, 1, 1, 1, 3]",16,16,0.22086405540731582,1,0.005,-1
127,0,33,"[5, 12, 5, 8, 2, 3, 5, 10, 9, 4]",48,15,0.15929293149183968,1,0.005,-1
128,0,72,"[1, 5, 7, 1, 4, 2, 1, 7, 4, 1]",21,12,0.2507116959241537,1,0.005,-1
129,0,279,"[0, 3, 3, 3, 4, 2, 1, 2, 1, 2]",10,11,0.2376195546768334,1,0.005,-1
130,0,297,"[5, 9, 5, 3, 4, 9, 7, 6, 10, 8]",48,18,0.12212758743554733,1,0.005,-1
131,0,100,"[1, 3, 2, 4, 0, 2, 4, 2, 1, 4]",13,10,0.24205466249519572,1,0.005,-1
132,0,150,"[5, 4, 3, 5, 4, 5, 4, 3, 6, 4]",26,17,0.08476025127499223,1,0.005,-1
133,0,198,"[6, 5, 5, 5, 4, 7, 2, 2, 3, 2]",28,13,0.1595615811856585,1,0.005,-1
134,0,153,"[5, 3, 5, 6, 5, 4, 6, 4, 2, 5]",33,12,0.10944529678504412,1,0.005,-1
135,0,62,"[5, 6, 8, 2, 5, 7, 6, 4, 8, 6]",45,12,0.1245308445869174,1,0.005,-1
136,0,4,"[2, 8, 3, 3, 5, 3, 8, 4, 4, 8]",36,12,0.15451715832134016,1,0.005,-1
